Origen,Destino,Valor
Albacete, Alicante_Alacant,230
Albacete, Almería,32
Albacete, Araba_Álava,5
Albacete, Asturias,5
Albacete, Ávila,6
Albacete, Badajoz,8
Albacete, Balears_ Illes,47
Albacete, Barcelona,73
Albacete, Bizkaia,15
Albacete, Burgos,5
Albacete, Cáceres,16
Albacete, Cádiz,13
Albacete, Cantabria,4
Albacete, Castellón_Castelló,27
Albacete, Ciudad Real,119
Albacete, Córdoba,24
Albacete, Coruña_A,11
Albacete, Cuenca,167
Albacete, Gipuzkoa,9
Albacete, Girona,9
Albacete, Granada,15
Albacete, Guadalajara,16
Albacete, Huelva,14
Albacete, Huesca, 
Albacete, Jaén,42
Albacete, León,5
Albacete, Lleida,6
Albacete, Lugo, 
Albacete, Madrid,166
Albacete, Málaga,21
Albacete, Murcia,194
Albacete, Navarra,7
Albacete, Ourense,3
Albacete, Palencia,2
Albacete, Palmas_ Las,16
Albacete, Pontevedra,6
Albacete, Rioja_ La,6
Albacete, Salamanca,4
Albacete, Santa Cruz de Tenerife,13
Albacete, Segovia,5
Albacete, Sevilla,26
Albacete, Soria,6
Albacete, Tarragona,17
Albacete, Teruel,7
Albacete, Toledo,53
Albacete, Valencia_València,214
Albacete, Valladolid,5
Albacete, Zamora,4
Albacete, Zaragoza,19
Albacete, Ceuta,1
Albacete, Melilla,1
Alicante_Alacant, Albacete,331
Alicante_Alacant, Alicante_Alacant, 
Alicante_Alacant, Almería,205
Alicante_Alacant, Araba_Álava,60
Alicante_Alacant, Asturias,121
Alicante_Alacant, Ávila,30
Alicante_Alacant, Badajoz,63
Alicante_Alacant, Balears_ Illes,303
Alicante_Alacant, Barcelona,594
Alicante_Alacant, Bizkaia,92
Alicante_Alacant, Burgos,42
Alicante_Alacant, Cáceres,53
Alicante_Alacant, Cádiz,93
Alicante_Alacant, Cantabria,65
Alicante_Alacant, Castellón_Castelló,145
Alicante_Alacant, Ciudad Real,167
Alicante_Alacant, Córdoba,96
Alicante_Alacant, Coruña_ A,72
Alicante_Alacant, Cuenca,65
Alicante_Alacant, Gipuzkoa,76
Alicante_Alacant, Girona,97
Alicante_Alacant, Granada,182
Alicante_Alacant, Guadalajara,55
Alicante_Alacant, Huelva,29
Alicante_Alacant, Huesca,23
Alicante_Alacant, Jaén,170
Alicante_Alacant, León,71
Alicante_Alacant, Lleida,56
Alicante_Alacant, Lugo,23
Alicante_Alacant, Madrid,1519
Alicante_Alacant, Málaga,230
Alicante_Alacant, Murcia,1357
Alicante_Alacant, Navarra,83
Alicante_Alacant, Ourense,33
Alicante_Alacant, Palencia,23
Alicante_Alacant, Palmas_ Las,129
Alicante_Alacant, Pontevedra,54
Alicante_Alacant, Rioja_ La,38
Alicante_Alacant, Salamanca,51
Alicante_Alacant, Santa Cruz de Tenerife,138
Alicante_Alacant, Segovia,15
Alicante_Alacant, Sevilla,172
Alicante_Alacant, Soria,12
Alicante_Alacant, Tarragona,119
Alicante_Alacant, Teruel,18
Alicante_Alacant, Toledo,164
Alicante_Alacant, Valencia_València,1241
Alicante_Alacant, Valladolid,84
Alicante_Alacant, Zamora,18
Alicante_Alacant, Zaragoza,104
Alicante_Alacant, Ceuta,9
Alicante_Alacant, Melilla,45
Asturias, Albacete,4
Asturias, Alicante_Alacant,93
Asturias, Almería,14
Asturias, Araba_Álava,22
Asturias, Asturias, 
Asturias, Ávila,14
Asturias, Badajoz,27
Asturias, Balears_ Illes,112
Asturias, Barcelona,181
Asturias, Bizkaia,77
Asturias, Burgos,42
Asturias, Cáceres,28
Asturias, Cádiz,35
Asturias, Cantabria,155
Asturias, Castellón_Castelló,22
Asturias, Ciudad Real,29
Asturias, Córdoba,14
Asturias, Coruña_ A,98
Asturias, Cuenca,4
Asturias, Gipuzkoa,41
Asturias, Girona,32
Asturias, Granada,24
Asturias, Guadalajara,22
Asturias, Huelva,9
Asturias, Huesca,14
Asturias, Jaén,13
Asturias, León,250
Asturias, Lleida,11
Asturias, Lugo,143
Asturias, Madrid,539
Asturias, Málaga,66
Asturias, Murcia,47
Asturias, Navarra,36
Asturias, Ourense,26
Asturias, Palencia,17
Asturias, Palmas_ Las,77
Asturias, Pontevedra,60
Asturias, Rioja_ La,32
Asturias, Salamanca,39
Asturias, Santa Cruz de Tenerife,73
Asturias, Segovia,15
Asturias, Sevilla,58
Asturias, Soria,3
Asturias, Tarragona,28
Asturias, Teruel,17
Asturias, Toledo,52
Asturias, Valencia_València,73
Asturias, Valladolid,57
Asturias, Zamora,37
Asturias, Zaragoza,26
Asturias, Ceuta,5
Asturias, Melilla,7
Ávila, Albacete,3
Ávila, Alicante_Alacant,16
Ávila, Almería,6
Ávila, Araba_Álava,3
Ávila, Asturias,8
Ávila, Ávila, 
Ávila, Badajoz,7
Ávila, Balears_ Illes,7
Ávila, Barcelona,30
Ávila, Bizkaia,2
Ávila, Burgos,12
Ávila, Cáceres,27
Ávila, Cádiz,11
Ávila, Cantabria,2
Ávila, Castellón_Castelló, 
Ávila, Ciudad Real,4
Ávila, Córdoba,6
Ávila, Coruña_ A,4
